id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
60549,8411327011020,Cerveza clásica Mahou,,0.59,False,,,,0.25,Bodega,True,,False,False,
66028,8411327131124,Cerveza especial Mahou,Cerveza especial,7.68,False,,España,"MAHOU, S.A.",3.0,Bodega,True,5.5,False,True,0.25
22524,8411327131018,Cerveza especial Mahou,,0.69,False,,,,0.25,Bodega,True,,False,False,
27114,8712000900298,Cerveza Heineken,Cerveza,3.36,False,        3.72,España,Heineken España S.A.,1.5,Bodega,True,5.0,False,True,0.25
70745,8712000030599,Cerveza Heineken,Cerveza,0.7,False,,,Heineken España S.A.,0.25,Bodega,True,5.0,False,False,
13895,8410590111086,Cerveza El Águila sin filtrar,Cerveza Especial,5.94,False,,,Heineken España S.A.,1.98,Bodega,True,5.5,False,True,0.33
27456,8410590111017,Cerveza El Águila sin filtrar,Cerveza Especial,0.99,False,,España,Heineken España S.A.,0.33,Bodega,True,5.5,False,False,
66584,8411327001915,Cerveza sin gluten Mahou,CERVEZA ESPECIAL (SIN GLUTEN),7.14,False,,España,"MAHOU, S.A.",1.98,Bodega,True,5.5,False,True,0.33
66585,8411327001908,Cerveza sin gluten Mahou,CERVEZA ESPECIAL (SIN GLUTEN),1.19,False,,España,"MAHOU, S.A.",0.33,Bodega,True,5.5,False,False,
66587,8412598001819,Cerveza especial Estrella Galicia,Cerveza Especial,8.04,False,,A Coruña,"HIJOS DE RIVERA, S.A.U",3.0,Bodega,True,5.5,False,True,0.25
15936,8412598005831,Cerveza especial Estrella Galicia,,0.67,False,,,,0.25,Bodega,True,,False,False,
66009,8412598033179,Cerveza extra 1906 reserva especial,Cerveza Extra,7.32,False,,A Coruña,HIJOS DE RIVERA S.A.U.,1.98,Bodega,True,6.5,False,True,0.33
67092,8412598034213,Cerveza extra 1906 reserva especial,,1.22,False,,,,0.33,Bodega,True,,False,False,
60315,8413462120018,Cerveza especial 18/70 La Rubia,Cerveza Especial,4.74,False,,España,Heineken España S.A.,1.5,Bodega,True,6.2,False,True,0.25
60316,8413462120001,Cerveza especial 18/70 La Rubia,Cerveza Especial,0.89,False,,España,Heineken España S.A.,0.25,Bodega,True,6.2,False,False,
