id,warehouse,language,ean,name,slug,legal_name,unit_price,bulk_price,is_discounted,previous_price,iva,age_check,alcohol_by_volume,is_new,is_pack,pack_size,description,minimum_amount,weight,brand,origin,supplier,category
86808,mad1,es,8480000868084,Sazonador pollo y carne Hacendado,sazonador-pollo-carne-hacendado-bote,Sazonador Pollo/Carne,1.5,19.74,False,,10,False,,False,False,,Sazonador pollo y carne Hacendado,1,0.076,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
60640,mad1,es,8402001019548,Sazonador pasta Hacendado,sazonador-pasta-hacendado-bote,Sazonador Pasta,1.6,35.56,False,,10,False,,False,False,,Sazonador pasta Hacendado,1,0.045,Hacendado,,"JESÚS NAVARRO, S.A.",Especias
52635,mad1,es,8402001016523,"Sazonador sabor queso y bacon Hacendado para patatas, snacks, carnes y salsas",sazonador-sabor-queso-bacon-hacendado-patatas-snacks-carnes-salsas-pack-2,Sazonador sabor Cheese Bacon,0.85,94.44,False,,10,False,,False,True,0.0045,"Sazonador sabor queso y bacon Hacendado para patatas, snacks, carnes y salsas",1,0.009,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
13406,mad1,es,8480000134066,Mayonesa Hacendado,mayonesa-hacendado-tarro,Mayonesa,1.2,2.4,False,        1.25,10,False,,False,False,,Mayonesa Hacendado,1,0.5,Hacendado,España,Compre y Compare S.A.,"Mayonesa, ketchup y mostaza"
52728,mad1,es,8402001014680,Mayonesa Hacendado,mayonesa-hacendado-tarro,Mayonesa,0.95,3.96,False,,10,False,,False,False,,Mayonesa Hacendado,1,0.24,Hacendado,España,Salsa Rica S.L.,"Mayonesa, ketchup y mostaza"
13407,mad1,es,8480000134073,Mayonesa Hacendado,mayonesa-hacendado-bote,Mayonesa,1.25,2.72,False,        1.35,10,False,,False,False,,Mayonesa Hacendado,1,0.46,Hacendado,España,Compre y Compare S.A.,"Mayonesa, ketchup y mostaza"
23816,mad1,es,8480000238160,Mayonesa en sobres individuales,mayonesa-sobres-individuales-pack-12,Mayonesa,1.25,5.21,False,,10,False,,False,True,0.02,Mayonesa en sobres individuales,1,0.24,,España,Salsa Rica S.L.,"Mayonesa, ketchup y mostaza"
35840,mad1,es,8410127050819,Mayonesa Hellmann's,mayonesa-hellmanns-tarro,Mayonesa,3.25,7.22,False,,10,False,,False,False,,Mayonesa Hellmann's,1,0.45,Hellmann's,España,"Unilever España, S.A.","Mayonesa, ketchup y mostaza"
17052,mad1,es,8410127050482,Mayonesa Hellmann's,mayonesa-hellmanns-tarro,MAYONESA,1.95,8.67,False,,10,False,,False,False,,Mayonesa Hellmann's,1,0.225,Hellmann's,España,Unilever,"Mayonesa, ketchup y mostaza"
35839,mad1,es,8720182381804,Salsa ligera Ligeresa,salsa-ligera-ligeresa-tarro,Salsa,2.65,6.24,False,,10,False,,False,False,,Salsa ligera Ligeresa,1,0.425,Ligeresa,España,"Unilever España, S.A.","Mayonesa, ketchup y mostaza"
